common_name,species_name,url,image,iucn,image_credit
Cane Toad,Rhinella marina,https://www.frogid.net.au/frogs/rhinella-marina,"https://res.cloudinary.com/ausmus/image/upload/c_fill,g_auto,h_450,q_auto,w_800/cv7vtfcgodecewypxfnc",Least Concern,Jodi Rowley (FrogID)
Copper-backed Toadlet,Pseudophryne raveni,https://www.frogid.net.au/frogs/pseudophryne-raveni,"https://res.cloudinary.com/ausmus/image/upload/c_fill,g_auto,h_450,q_auto,w_800/luwflcw7x7zcd0adqj5p",Least Concern,Adam Parsons (FrogID)
Eastern Sedge Frog,Litoria fallax,https://www.frogid.net.au/frogs/litoria-fallax,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Frogs/Eastern_Segde_Frog.jpeg,Least Concern,Need ID
Eastern Sign-bearing Froglet,Crinia parinsignifera,https://www.frogid.net.au/frogs/crinia-parinsignifera,"https://res.cloudinary.com/ausmus/image/upload/c_fill,g_auto,h_450,q_auto,w_800/v3usb3n1zkslxpipmomb",Least Concern,Stephen Mahony (FrogID)
Eastern Stony Creek Frog,Litoria wilcoxii,https://www.frogid.net.au/frogs/litoria-wilcoxii,"https://res.cloudinary.com/ausmus/image/upload/c_fill,g_auto,h_450,q_auto,w_800/ljofdfuwkjrxuuxzocgo",Least Concern,Stephen Mahony (FrogID)
Giant Barred Frog,Mixophyes iteratus,https://www.frogid.net.au/frogs/mixophyes-iteratus,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Frogs/Giant_Barred.jpeg,Vulnerable,Cameron Taggart
Graceful Tree Frog,Litoria gracilenta,https://www.frogid.net.au/frogs/litoria-gracilenta,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Frogs/Graceful_Treefrog.jpeg,Least Concern,Cameron Taggart
Great Barred Frog,Mixophyes fasciolatus,https://www.frogid.net.au/frogs/mixophyes-fasciolatus,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Frogs/Great_Barred.jpeg,Least Concern,Cameron Taggart
Green Tree Frog,Litoria caerulea,https://www.frogid.net.au/frogs/litoria-caerulea,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Frogs/Green_Tree_Frog.jpeg,Least Concern,Cameron Taggart
Pearson's Stream Frog,Litoria pearsoniana,https://www.frogid.net.au/frogs/litoria-pearsoniana,"https://res.cloudinary.com/ausmus/image/upload/c_fill,g_auto,h_450,q_auto,w_800/cjezq9v8eihwgrocr4b6",Least Concern,Jodi Rowley (FrogID)
Peron's Tree Frog,Litoria peronii,https://www.frogid.net.au/frogs/litoria-peronii,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Frogs/Perons_Tree_Frog.jpeg,Least Concern,Jono Hooper
Red Tree Frog,Litoria dentata,https://www.frogid.net.au/frogs/litoria-dentata,"https://res.cloudinary.com/ausmus/image/upload/c_fill,g_auto,h_450,q_auto,w_800/k6bnxfmdxghqmytou2f1",Least Concern,Jodi Rowley (FrogID)
Robust Bleating Tree Frog,Litoria rubella,https://www.frogid.net.au/frogs/litoria-rubella,"https://res.cloudinary.com/ausmus/image/upload/c_fill,g_auto,h_450,q_auto,w_800/zzo9dahwqrfk75htqvpv",Least Concern,Jodi Rowley (FrogID)
Striped Marsh Frog,Limnodynastes peronii,https://www.frogid.net.au/frogs/limnodynastes-peronii,"https://res.cloudinary.com/ausmus/image/upload/c_fill,g_auto,h_450,q_auto,w_800/atayo5ela6kfijqyujpo",Least Concern,Jodi Rowley (FrogID)
Striped Rocket Frog,Litoria nasuta,https://www.frogid.net.au/frogs/litoria-nasuta,"https://res.cloudinary.com/ausmus/image/upload/c_fill,g_auto,h_450,q_auto,w_800/x1zqirpd0r1gj2abevvw",Least Concern,Jodi Rowley (FrogID)
Superb Banjo Frog,Limnodynastes terraereginae,https://www.frogid.net.au/frogs/limnodynastes-terraereginae,"https://res.cloudinary.com/ausmus/image/upload/c_fill,g_auto,h_450,q_auto,w_800/zj9d7wvtpzrvqblcd3ne",Least Concern,Tom Parkin (FrogID)
Tusked Frog,Adelotus brevis,https://www.frogid.net.au/frogs/adelotus-brevis,"https://res.cloudinary.com/ausmus/image/upload/c_crop,h_0.7497883747178329,q_auto,w_1.0,x_0.0,y_0.058411214953271035/c_scale,w_800/wm2gvrycdb7vgk09pz3z",Least Concern,Jodi Rowley (FrogID)
Tyler's Tree Frog,Litoria tyleri,https://www.frogid.net.au/frogs/litoria-tyleri,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Frogs/Tylers_Laughing.jpeg,Least Concern,Emily Thompson 
Wallum Froglet,Crinia tinnula,https://www.frogid.net.au/frogs/crinia-tinnula,"https://res.cloudinary.com/ausmus/image/upload/c_fill,g_auto,h_450,q_auto,w_800/gd78et74zppalukpq5uw",Least Concern,Daniel O'Brien (FrogID)
Wallum Rocket Frog,Litoria freycineti,https://www.frogid.net.au/frogs/litoria-freycineti,"https://res.cloudinary.com/ausmus/image/upload/c_fill,g_auto,h_450,q_auto,w_800/svv0plx3wd50kthdi4in",Least Concern,Jordan Mulder
Wallum Sedge Frog,Litoria olongburensis,https://www.frogid.net.au/frogs/litoria-olongburensis,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Images/Frogs/Wallum_Sedge_Frog.jpeg,Least Concern,Indra Bone
