common_name,species_name,url,image,image_credit,iucn
Cane Toad,Rhinella marina,,,,Least Concern
Copper-backed Toadlet,Pseudophryne raveni,,,,Least Concern
Eastern Dwarf Tree Frog,Litoria fallax,,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Liroria%20fallax.jpeg,,Least Concern
Eastern Sign-bearing Froglet,Crinia parinsignifera,,,,Least Concern
Eastern Stony Creek Frog,Litoria wilcoxii,,,,Least Concern
Giant Barred Frog,Mixophyes iteratus,,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Giant_Barred.jpeg,Cameron Taggart,Vulnerable
Graceful Tree Frog,Litoria gracilenta,,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Litoris%20gracilenta.jpeg,Cameron Taggart,Least Concern
Great Barred Frog,Mixophyes fasciolatus,,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Great_Barred.jpeg,Cameron Taggart,Least Concern
Green Tree Frog,Litoria caerulea,,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Green_Tree_Frog.jpeg,Cameron Taggart,Least Concern
Pearson's Stream Frog,Litoria pearsoniana,,,,Least Concern
Peron's Tree Frog,Litoria peronii,,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/peronii.jpeg,Jono Hooper,Least Concern
Red Tree Frog,Litoria dentata,,,,Least Concern
Robust Bleating Tree Frog,Litoria rubella,,,,Least Concern
Striped Marsh Frog,Limnodynastes peronii,,,,Least Concern
Striped Rocket Frog,Litoria nasuta,,,,Least Concern
Superb Banjo Frog,Limnodynastes terraereginae,,,,Least Concern
Tusked Frog,Adelotus brevis,,,,Least Concern
Tyler's Tree Frog,Litoria tyleri,,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/tylers laughing.jpeg,Emily Thompson ,Least Concern
Wallum Froglet,Crinia tinnula,,,,Least Concern
Wallum Rocket Frog,Litoria freycineti,,,,Least Concern
Wallum Sedge Frog,Litoria olongburensis,,https://raw.githubusercontent.com/Ethann-5/Frog_Map_Assets/main/Litoria%20olongburensis.jpeg,Indra Bone,Least Concern
